PERGUNTAS	RESPOSTA (A)	RESPOSTA (B)	RESPOSTA (C)	RESPOSTA (D)	RESPOSTA CORRETA
1. QUEM FOI LANÇADO NA COVA DOS LEÕES?	JEREMIAS	SALOMÃO	DANIEL	SAMUEL	C
2 QUAL FOI O PRIMEIRO MILAGRE DE JESUS	RESSUSCITAR LÁZARO	MULTIPLICAR PÃES 	TRANSFORMAR ÁGUA EM VINHO	CURAR UM CEGO	C
3. QUANTAS PRAGAS DEUS ENVIOU AO EGITO?	10	7	5	1	A
4. QUEM NEGOU JESUS TRÊS VEZES ANTES DO GALO CANTAR?	PAULO	LUCAS	JOÃO	PEDRO	D
5. QUAL ERA O NOME DA MÃE DE JESUS?	RUTE	MARTA	MARIA	HELENA	C
6. QUEM FOI ENGOLIDO POR UM GRANDE PEIXE?	PEDRO	JONAS	FILIPE	TIAGO	B
7. QUAL FOI O NOME DO MONTE ONDE MOISÉS RECEBEU OS 10 MANDAMENTOS	HERMON	CARMELO	SIÃO	SINAI	D
8. QUEM RECEBEU OS 10 MANDAMENTOS DE DEUS?	MOISÉS	ARÃO	PEDRO	SALOMÃO	A
9 QUEM FOI A MULHER QUE SALVOU SEU POVO INTERCEDENDO DIANTE DO REI PERSA?	DÉBORA	NOEMI	RUTE	ESTER	D
10. QUAL ERA O NOME ORIGINAL DE ABRAÃO	ABIAS	ABIMELEQUE	ABRÃO	ABIATAR	C
11. EM QUE CIDADE PAULO FOI PRESO PELA PRIMEIRAA VEZ	ROMA	FILIPOS	CORINTO	ÉFESO	B
12 QUEM ESCREVEU A MAIORIA DAS CARTAS DO NOVO TESTAMENTO	JOÃO	PEDRO	TIAGO	PAULO	D
13. QUEM FOI O HOMEM MAIS FORTE MENCIONADO NA BÍBLIA?	GOLIAS	SANSÃO	SAUL	DAVI	B
14 QUEM FOI O PRIMEIRO SACERDOTE MENCIONADO NA BÍBLIA	MELQUISEDEQUE	ARÃO	LEVI	MOISÉS	A
15.QUEM CORTOU O CABELO DE SANSÃO	UM SOLDADO FILISTEU	DALILA	SUA MÃE	UM SERVO	A
