PERGUNTAS	RESPOSTA (A)	RESPOSTA (B)	RESPOSTA (C)	RESPOSTA (D)	RESPOSTA CORRETA
1. Quem abriu o Mar Vermelho com seu cajado?	Josué	Moisés	Arão	Calebe	B
2. Como a Terra é descrita em Gênesis 1.2?	Sem luz e água	Perfeita	Sem forma e vazia	Redonda	C
3. Quem traiu a Jesus por 30 moedas de prata?	Judas	Pedro	Timóteo	João	A
4. Que dois elementos da Santa Ceia representam o sangue e o corpo de Cristo?	água e pão	Vinho e Azeite	Pão e Azeite	vinho e pão	D
5. Complete o versículo: "Disse-lhes Jessus: Eu sou a ressurreição e a vida. Quem crê em mim, ainda que morra..."	viverá	será salvo	será enterrado	resplandecerá	A
6. Quais os livros  são chamados de  Profetas Maiores?	Isaías, Jeremias, Ezequiel e Daniel	Isaías, Malaquias, Daniel e Oséias	Ezequiel, Daniel, Lamentaçãoes e Jeremias	Isaías, Jeremias, Lamentações e Ezequiel	A
7. Quais os três ofícios de Samuel?	Profeta, Escriba, Rei	Juíz, Profeta e Sacerdote	Juíz, Profeta e Rei	Profeta, Sacerdote e Escriba	B
8. Quem introduziu o nome de Jó na reunião celestial?	Satanás	Um anjo	Deus	Um Querubim	A
9. Qual o nome dos homens que seguravam os braços de Moisés levantados, enquanto Israel guerreava contra os Amalequitas? 	Josué e Calebe	Arão e Josué	Josué e Hur	Arão e Ur	D
10. Qual é o significado do nome de Jacó?	Aquel que segura no calcanhar	Aquele que deseja a bênção	Enganador	Traidor	A
11. Quais os nomes dos quatro braços do rio que regava o jardim do Éden?	Nilo, Farfar, Tigre e Eufrates	Abana, Farfar, Nilo e Eufrates	Pisom, Giom, Tigre e Eufrates	Pisom, Nilo, Abana e Farfar	C
12. De que enfermidade padecia o pai de Públio, quando foi curado pelo apóstolo Paulo?	Desinteria	cegueira	Lepra	Câncer	A
13. Em qual  escola da cidade de Éfeso o apóstolo Paulo ensinava a seus discípulos?	de Demétrio	de Tirano	de Gamaliel	de Apolo	B
14. Quem foi a mulher moabita a se tornar bisavó de Davi?	Abigail	Rute	Zípora	Hagar	B
15. Quais palavras foram escritas na parede do palácio da Babilônia e interpretadas por Daniel?	Mene, Mene, Tequel e Parsim	bara, bara, berishit e eloim	Abarim, Abarim, Tequel e Abarim	Eloi, Eloi, Tequel e Shabaktani	A
