points,question,optionA,optionB,optionC,optionD,correct
10,"Quem era o irmão de Moisés que se tornou o primeiro sumo sacerdote de Israel?","Arão","Josué","Calebe","Eli","A"
20,"Qual era o nome da esposa de Abraão?","Sara","Rebeca","Raquel","Miriã","A"
30,"Quem foi vendido por seus irmãos e se tornou governador do Egito?","José","Moisés","Davi","Esaú","A"
40,"Qual profeta desafiou os profetas de Baal no Monte Carmelo?","Elias","Eliseu","Isaías","Jeremias","A"
50,"Quem foi o primeiro rei de Israel?","Saul","Davi","Salomão","Ezequias","A"
100,"Qual discípulo negou Jesus três vezes antes do galo cantar?","Pedro","João","Tiago","André","A"
200,"Quem escreveu a maioria das cartas do Novo Testamento?","Paulo","Pedro","João","Tiago","A"
250,"Qual mulher do Antigo Testamento se tornou rainha da Pérsia?","Ester","Débora","Rute","Marta","A"
300,"Quem foi engolido por um grande peixe ao fugir da ordem de Deus?","Jonas","Noé","Daniel","Elias","A"
500,"Qual era o nome do pai de João Batista?","Zacarias","José","Simão","Natanael","A"
600,"Quem foi o juiz que derrotou os midianitas com apenas 300 homens?","Gideão","Sansão","Eli","Samuel","A"
700,"Qual discípulo era cobrador de impostos antes de seguir Jesus?","Mateus","Lucas","Bartolomeu","Tomé","A"
800,"Quem foi ressuscitado por Jesus após quatro dias morto?","Lázaro","Jairo","Bartimeu","Nicodemos","A"
900,"Qual apóstolo foi conhecido como 'o discípulo amado'?","João","Pedro","Tiago","Filipe","A"
1000,"Quem escreveu o livro de Apocalipse?","João","Paulo","Pedro","Tiago","A"
